aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Race,Other,0.034195419131861,7857
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Income,Household Income,60% to 80% of Area Median Income,0.255483187607258,7858
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.0487783273049384,7859
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Vehicles,Usable Cars,1,0.385530124436752,7860
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Alternative Modes,Alternative Mode,Other,0,7861
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Race,Prefer not to say,0.0205099291195595,7862
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Income,Household Income,80% to 100% of Area Median Income,0.130960686332351,7863
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Cars per Capita,0,0.365329371678743,7864
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Vehicles,Usable Cars,2,0.136282645756184,7865
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Alternative Modes,Used Alternative Mode,No,0.857887421820709,7866
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Title VI Minority,Yes,0.533971211227468,7867
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Income,Household Income,100% to 140%  of Area Median Income,0.0697208155616389,7868
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.301289982234061,7869
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Vehicles,Usable Cars,3 or more,0.0183382250026712,7870
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Alternative Modes,Used Alternative Mode,Yes,0.142105185338518,7871
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Title VI Minority,No,0.466028788772532,7872
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Income,Household Income,130% to 200% of Area Median Income,0.0293268422848355,7873
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Cars per Capita,0.5,0.168813482873177,7874
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Cars per Capita,Strictly between 0.5 and 1,0.0376238904173537,7875
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Cars per Capita,1 or more,0.104806423810301,7876
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Usable Cars,0,0.365704067807291,7877
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Usable Cars,1,0.470875476573085,7878
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Usable Cars,2,0.138251094936509,7879
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Usable Cars,3 or more,0.0251693606831143,7880
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Access Mode,Access to First MBTA Service,Walked,0.879947683684124,7881
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.0552812001978348,7882
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Access Mode,Access to First MBTA Service,Drove Alone,0.0171483211518382,7883
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.010021432104193,7884
